generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
167,114.76,23.2512,15.93,-2.23,242,39.5,3,8,7.26,149.0,-46.5,40.0,-35.0
168,237.35,27.5748,12.88,-2.75,595,35.5,7,16,17.85,350.0,-122.5,80.0,-88.0
169,107.36,26.5324,14.11,-1.41,212,35.0,3,9,6.36,128.0,-42.0,45.0,-30.0
170,79.46,19.3372,11.66,-2.35,232,45.0,5,5,6.96,133.0,-49.5,25.0,-36.0
171,139.5,25.3498,13.885,0.63,300,43.5,9,9,9.0,185.0,-57.5,45.0,-42.0
172,112.58,22.0098,11.06,-4.13,245,33.0,9,10,5.58,116.0,-35.0,50.0,-24.0
173,123.6,22.3544,10.1,-2.23,286,33.0,9,11,6.6,134.0,-43.0,55.0,-29.0
174,94.05,19.1226,11.59,-0.05,185,31.0,9,6,5.55,118.0,-33.5,30.0,-26.0
175,77.24,13.8724,7.215,-3.52,145,27.0,3,5,3.24,78.0,-15.0,25.0,-14.0
176,50.74,13.158,8.705,-2.51,117,34.0,3,4,3.24,65.0,-21.5,20.0,-16.0
177,77.61,15.4526,7.685,-4.58,176,21.0,5,6,4.11,88.0,-24.5,30.0,-20.0
178,98.49,25.1252,17.065,-0.73,234,42.5,9,7,6.99,138.0,-47.5,35.0,-34.0
179,97.55,20.3808,14.12,1.45,185,37.5,9,7,5.55,117.0,-34.0,35.0,-26.0
180,142.05,28.5594,17.415,-1.32,285,39.0,5,10,8.55,178.0,-53.5,50.0,-41.0
181,131.24,25.9562,17.38,-2.35,308,36.5,5,8,9.24,188.0,-60.0,40.0,-46.0
182,67.63,21.1146,12.585,-0.73,273,35.0,9,6,3.63,73.0,-24.0,30.0,-15.0
183,170.59,26.7966,15.255,-2.23,353,38.5,9,12,10.59,219.0,-67.0,60.0,-52.0
184,121.07,25.754,16.315,-1.88,319,45.0,4,9,9.57,182.0,-68.5,45.0,-47.0
185,186.44,26.164,15.655,-0.64,398,45.0,9,15,11.94,237.0,-80.5,75.0,-57.0
186,141.96,25.5964,14.675,-2.23,332,43.5,3,10,9.96,198.0,-67.0,50.0,-49.0
187,116.32,27.9778,24.71,-2.35,311,40.5,3,9,8.82,169.0,-62.5,45.0,-44.0
188,102.52,19.6088,16.185,-0.05,234,29.5,9,8,7.02,137.0,-48.5,40.0,-33.0
189,163.32,20.1408,8.81,-0.73,344,36.0,9,12,10.32,210.0,-67.0,60.0,-50.0
190,110.55,21.6652,9.97,-5.84,235,32.5,9,9,7.05,140.0,-47.5,45.0,-34.0
191,113.26,21.3722,11.37,-5.51,217,28.0,9,10,4.26,98.0,-22.0,50.0,-17.0
192,150.74,24.1738,12.75,-5.02,323,29.5,9,13,7.74,162.0,-48.0,65.0,-36.0
193,91.9,19.3428,10.92,-2.23,144,33.0,8,8,3.9,86.0,-22.0,40.0,-16.0
194,95.52,20.2316,13.665,-1.32,134,29.0,6,8,4.02,91.0,-21.5,40.0,-18.0
195,190.62,26.6028,8.365,-2.61,304,27.5,8,13,9.12,209.0,-47.5,65.0,-45.0
196,122.17,27.8296,15.95,0.39,239,43.5,9,8,7.17,153.0,-43.0,40.0,-35.0
197,167.42,26.417,16.615,-2.23,250,33.5,3,15,6.42,146.0,-34.0,75.0,-26.0
198,138.89,26.416,11.435,-3.73,213,28.0,8,11,6.39,142.0,-35.5,55.0,-29.0
199,245.69,38.9216,19.325,-3.73,473,51.0,9,15,14.19,310.0,-81.5,75.0,-72.0
200,354.44,39.0892,21.685,-0.73,648,46.0,9,23,19.44,426.0,-111.0,115.0,-95.0
201,167.41,33.0066,20.11,-0.73,247,56.0,9,13,7.41,167.0,-40.0,65.0,-32.0
202,152.71,34.5566,21.12,-2.35,307,51.0,5,10,9.21,196.0,-55.5,50.0,-47.0
203,100.38,20.1888,12.115,-2.35,156,29.0,5,8,4.38,98.0,-24.0,40.0,-18.0
204,121.59,34.8444,22.0,-1.81,228,49.0,3,9,6.09,134.0,-34.5,45.0,-29.0
205,86.55,26.0736,18.625,1.8,185,37.0,7,4,5.55,121.0,-32.0,20.0,-28.0
206,154.57,26.2762,17.705,-2.23,221,35.0,3,13,6.57,147.0,-36.0,65.0,-28.0
207,84.61,19.8774,12.14,-0.76,187,33.5,8,6,5.61,113.0,-37.0,30.0,-27.0
208,177.71,31.0754,21.17,-2.42,357,44.5,3,12,10.71,225.0,-66.0,60.0,-52.0
209,105.73,25.8008,13.715,-1.41,218,39.0,3,6,5.73,129.0,-31.0,30.0,-28.0
210,103.6,19.7636,8.955,-1.58,170,26.5,3,8,5.1,111.0,-29.5,40.0,-23.0
211,147.41,28.0914,22.725,-0.66,197,39.5,8,10,5.91,144.0,-26.5,50.0,-26.0
212,144.89,32.2974,19.99,-1.88,213,32.0,4,12,6.39,142.0,-35.5,60.0,-28.0
213,169.56,24.7696,16.97,-3.73,252,25.0,3,13,7.56,172.0,-40.0,65.0,-35.0
214,186.56,29.789,19.735,-1.41,252,32.0,3,15,7.56,174.0,-39.0,75.0,-31.0
215,142.13,37.639,19.865,1.99,196,43.0,3,9,5.13,133.0,-19.0,45.0,-22.0
216,205.66,40.8872,27.46,-0.73,235,41.0,8,17,6.66,168.0,-27.0,85.0,-27.0
217,257.84,34.0838,17.515,-0.73,278,27.0,3,20,8.34,215.0,-31.5,100.0,-34.0
218,212.79,27.1918,17.025,-0.73,243,26.0,3,18,7.29,178.0,-32.5,90.0,-30.0
219,310.61,36.246,19.22,-1.04,387,28.0,3,23,11.61,285.0,-51.0,115.0,-50.0
220,201.44,33.2522,12.48,0.74,248,20.5,3,14,7.44,188.0,-30.0,70.0,-34.0
221,110.32,27.5434,18.13,-2.61,194,32.5,9,6,5.82,133.0,-30.5,30.0,-28.0
222,126.95,31.874,25.17,-1.88,165,37.5,3,8,4.95,125.0,-20.0,40.0,-23.0
223,134.48,34.6294,26.2,-0.76,216,43.5,4,9,6.48,148.0,-34.0,45.0,-31.0
224,141.4,35.8298,18.43,0.39,322,32.0,5,13,3.9,101.0,-14.5,65.0,-14.0
225,142.46,31.7256,20.405,1.45,432,36.5,3,11,12.96,237.0,-97.5,55.0,-65.0
226,132.02,26.8486,19.315,0.3,184,37.5,9,10,5.52,129.0,-27.5,50.0,-25.0
227,144.44,26.6624,15.26,-0.52,198,28.0,3,9,5.94,147.0,-25.5,45.0,-28.0
228,91.45,28.4956,24.87,-3.87,135,31.0,3,6,3.45,87.0,-14.0,30.0,-15.0
229,237.82,36.4704,17.14,-2.23,294,30.5,3,16,8.82,224.0,-35.0,80.0,-40.0
230,223.8,34.3864,22.43,-2.7,303,38.0,9,19,7.8,188.0,-36.0,95.0,-31.0
231,183.17,35.2172,21.2,-3.73,189,37.5,9,14,5.67,150.0,-19.5,70.0,-23.0
232,208.23,35.4642,23.255,-0.05,291,37.5,3,14,8.73,210.0,-40.5,70.0,-40.0
233,173.25,33.6182,20.37,-0.19,225,35.0,3,11,6.75,170.0,-27.5,55.0,-31.0
234,143.1,35.4826,19.545,-1.41,208,37.0,3,11,5.1,126.0,-22.0,55.0,-21.0
235,177.24,39.668,31.775,-0.29,308,45.0,3,11,9.24,208.0,-50.0,55.0,-45.0
236,185.28,45.1574,30.25,1.8,226,48.0,9,13,6.78,171.0,-27.5,65.0,-30.0
237,144.28,33.5166,24.64,-2.23,226,38.5,6,10,6.78,155.0,-35.5,50.0,-32.0
238,311.47,33.3552,16.57,-0.73,499,31.5,8,23,14.97,334.0,-82.5,115.0,-70.0
239,195.85,37.7166,14.395,-1.41,295,24.0,3,17,8.85,193.0,-51.0,85.0,-40.0
240,138.44,24.1264,12.39,-3.29,248,22.0,3,10,7.44,160.0,-44.0,50.0,-35.0
241,181.6,28.4758,11.85,-1.41,249,30.5,3,15,6.6,158.0,-31.0,75.0,-27.0
242,168.37,32.9014,19.545,-1.55,279,41.0,5,10,8.37,193.0,-43.0,50.0,-40.0
243,112.57,31.8316,18.86,-3.73,180,52.0,3,8,5.07,118.0,-25.5,40.0,-25.0
244,138.16,25.148,13.745,-4.55,172,27.5,3,12,5.16,120.0,-26.0,60.0,-21.0
245,116.47,25.8752,13.17,-3.64,131,25.5,3,13,2.97,72.0,-13.5,65.0,-10.0
246,161.78,28.9772,16.815,0.77,226,31.0,7,10,6.78,166.0,-30.0,50.0,-31.0
247,132.65,32.483,17.355,0.09,205,39.5,3,10,6.15,138.0,-33.5,50.0,-28.0
248,127.0,26.1942,16.49,-3.08,153,33.0,6,11,4.5,107.0,-21.5,55.0,-18.0
249,180.94,25.6406,15.425,-3.73,248,25.0,4,14,7.44,173.0,-37.5,70.0,-32.0
250,197.75,25.1688,13.135,-2.35,268,30.5,5,14,6.75,175.0,-25.0,70.0,-29.0
251,237.11,37.2322,23.15,-0.29,290,36.0,4,15,8.61,224.0,-31.5,75.0,-39.0
252,278.82,39.144,26.035,-1.69,344,30.5,3,21,10.32,253.0,-45.5,105.0,-44.0
253,160.29,35.9036,21.12,-1.41,193,40.5,3,12,5.79,144.0,-24.5,60.0,-25.0
254,150.89,40.4,26.76,-2.35,196,33.0,5,12,4.89,125.0,-19.0,60.0,-20.0
255,405.07,53.2272,26.305,-1.41,469,36.0,3,32,14.07,351.0,-59.0,160.0,-61.0
256,145.29,40.4916,32.785,-2.35,193,42.0,3,11,5.79,138.0,-27.5,55.0,-26.0
257,359.46,54.5578,28.25,-0.29,382,52.0,7,29,11.46,292.0,-45.0,145.0,-44.0
258,213.09,45.4248,17.005,-2.84,303,33.0,3,15,9.09,215.0,-44.0,75.0,-42.0
259,210.08,43.0326,25.6,-2.61,386,45.5,4,15,11.58,249.0,-68.5,75.0,-57.0
260,158.17,40.8124,27.045,0.09,255,48.5,3,15,5.67,130.0,-29.5,75.0,-23.0
261,314.38,45.287,25.235,-0.99,446,45.0,3,23,13.38,314.0,-66.0,115.0,-62.0
262,293.16,58.7746,36.235,2.27,342,68.0,6,27,9.66,231.0,-45.5,135.0,-37.0
263,336.97,56.7928,31.155,-1.41,449,41.0,3,25,13.47,322.0,-63.5,125.0,-60.0
264,304.68,57.7356,31.76,-0.76,412,42.0,8,26,9.18,237.0,-34.5,130.0,-37.0
265,259.32,47.667,28.035,-1.41,494,36.0,3,16,14.82,323.0,-85.5,80.0,-73.0
