generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
117,313.36,60.4798,30.5,-1.47,1486,136.5,3,10,14.86,681.0,-402.5,20.0,0.0
118,235.48,48.4662,23.855,-1.47,1048,130.5,3,7,10.48,490.0,-279.0,14.0,0.0
119,203.13,37.402,23.0,-2.94,1013,111.0,3,7,10.13,457.0,-278.0,14.0,0.0
120,295.32,56.642,32.65,-3.4,1582,140.0,3,11,15.82,699.0,-441.5,22.0,0.0
121,382.03,61.7154,27.48,-2.94,1853,126.5,3,9,18.53,848.0,-502.5,18.0,0.0
122,276.32,62.617,42.15,-1.47,1446,220.0,3,12,14.32,636.0,-398.0,24.0,0.0
123,219.76,53.8368,31.97,-2.98,1176,176.0,20,8,11.76,520.0,-328.0,16.0,0.0
124,497.87,56.0566,34.125,-1.47,2487,142.5,3,13,24.87,1127.0,-680.0,26.0,0.0
125,387.13,55.338,26.295,-1.47,1863,138.5,3,8,18.63,856.0,-503.5,16.0,0.0
126,328.19,54.7284,29.35,-2.94,1719,136.5,3,7,17.19,771.0,-474.0,14.0,0.0
127,263.46,57.215,51.91,-1.47,1346,221.5,3,4,13.46,610.0,-368.0,8.0,0.0
128,267.86,52.9238,29.0,-1.47,1524,163.0,3,4,13.86,626.0,-380.0,8.0,0.0
129,468.16,67.219,38.065,-4.29,2366,155.5,3,18,23.66,1061.0,-652.5,36.0,0.0
130,286.84,59.7626,37.635,-1.47,1234,157.0,3,10,12.34,581.0,-326.5,20.0,0.0
131,230.48,63.2614,46.175,-1.72,1298,223.5,3,8,12.98,567.0,-365.5,16.0,0.0
132,334.88,74.703,46.075,-1.47,1788,216.0,3,10,17.88,794.0,-497.0,20.0,0.0
133,160.19,55.192,44.805,2.6,869,215.5,3,5,8.69,384.0,-242.5,10.0,0.0
134,381.73,48.9102,28.465,-1.47,1973,147.5,3,15,19.73,879.0,-547.0,30.0,0.0
135,377.02,54.9294,25.22,-3.4,1802,145.5,3,15,18.02,820.0,-491.0,30.0,0.0
136,259.97,42.6668,22.81,-1.47,1247,111.5,3,5,12.47,574.0,-336.5,10.0,0.0
137,277.32,51.905,22.43,1.65,1482,126.5,3,9,14.82,657.0,-412.5,18.0,0.0
138,359.84,72.6,47.43,1.83,1684,273.0,9,9,16.84,778.0,-453.0,18.0,0.0
139,399.57,86.7032,33.36,-2.94,2057,174.0,3,7,20.57,929.0,-564.0,14.0,0.0
140,510.26,80.1198,27.87,-1.47,2725,180.5,3,11,25.76,1167.0,-704.5,22.0,0.0
141,239.63,66.0484,40.67,-2.94,1426,220.0,3,8,7.13,382.0,-165.5,16.0,0.0
142,313.98,85.4422,67.405,-2.88,1598,219.5,8,10,15.98,718.0,-440.0,20.0,0.0
143,310.72,61.3114,50.285,-2.76,1722,163.0,3,5,17.22,763.0,-479.5,10.0,0.0
144,151.74,38.8448,30.13,-1.35,774,102.0,14,6,7.74,346.0,-214.0,12.0,0.0
145,328.5,68.8374,33.94,2.51,1717,148.0,9,8,16.0,731.0,-434.5,16.0,0.0
146,343.75,63.692,38.32,0.15,1425,176.0,3,14,14.25,676.0,-374.5,28.0,0.0
147,302.62,52.1454,21.71,-5.61,1654,112.5,6,6,15.62,704.0,-429.0,12.0,0.0
148,282.34,69.3614,46.19,-1.35,1784,213.5,3,6,17.84,763.0,-510.5,12.0,0.0
149,169.07,48.6578,32.53,-1.47,1207,199.0,3,3,12.07,503.0,-352.0,6.0,0.0
150,324.62,71.9894,27.87,-2.94,1719,180.0,3,10,16.62,746.0,-458.0,20.0,0.0
151,303.69,56.5174,26.565,1.59,1519,158.0,3,8,15.19,688.0,-415.5,16.0,0.0
152,394.0,69.2876,39.855,1.83,1900,185.5,3,13,19.0,866.0,-517.0,26.0,0.0
153,259.52,66.084,52.615,-0.4,1302,278.0,9,7,13.02,589.0,-356.5,14.0,0.0
154,282.91,54.7212,42.11,-2.85,1441,190.5,8,7,14.41,650.0,-395.5,14.0,0.0
155,350.23,69.816,35.905,-2.73,1723,199.5,10,4,17.23,791.0,-466.0,8.0,0.0
156,237.88,67.146,29.385,1.65,1238,157.5,6,3,12.38,559.0,-339.5,6.0,0.0
157,301.2,64.0144,33.3,-2.94,1520,155.5,6,4,15.2,692.0,-414.0,8.0,0.0
158,420.33,68.6724,41.43,3.09,2233,218.0,8,14,22.33,991.0,-621.0,28.0,0.0
159,277.43,65.5828,44.425,2.78,1443,229.5,3,7,14.43,647.0,-398.0,14.0,0.0
160,247.3,59.736,36.23,1.65,1380,159.0,9,5,13.8,609.0,-385.5,10.0,0.0
161,206.08,51.1286,25.525,-2.85,1142,126.5,3,9,9.08,422.0,-243.0,18.0,0.0
162,259.78,69.5222,41.025,3.27,1301,204.5,8,11,11.28,527.0,-300.5,22.0,0.0
163,660.93,81.4382,34.695,0.15,3243,183.5,3,24,32.43,1468.0,-887.5,48.0,0.0
164,359.87,66.996,47.44,3.53,1987,212.0,3,9,19.87,877.0,-555.0,18.0,0.0
165,514.54,70.7564,28.615,4.1,2654,135.0,3,12,26.54,1194.0,-730.0,24.0,0.0
166,393.84,65.1964,28.8,4.22,1784,123.5,3,10,17.84,832.0,-476.0,20.0,0.0
