generation,best_score,mean_score,median_score,worst_score,best_turns,median_turns,worst_turns
52,131.49,16.3614,8.715,-13.18,349,28.0,3
53,79.54,18.0968,9.68,-53.64,304,26.5,3
54,89.31,15.2684,9.71,-52.58,181,32.0,3
55,88.62,17.1998,13.96,-54.51,162,49.0,3
56,192.84,31.7564,20.435,-50.06,384,54.5,3
57,147.31,26.084,14.275,-50.64,381,54.5,3
58,162.87,27.5242,17.89,-51.52,287,45.0,3
59,107.92,28.7662,21.11,-0.4,242,56.0,5
60,158.24,26.7212,14.795,-16.59,424,38.5,6
61,75.94,18.8576,12.055,-5.4,248,25.5,3
62,56.08,16.2022,12.135,-37.81,150,34.5,3
63,119.05,23.0686,19.51,-52.49,220,51.0,3
64,126.3,25.0512,19.715,-3.41,280,53.0,3
65,91.52,25.8024,22.525,-50.07,252,44.5,3
66,92.83,18.7054,14.035,-53.63,183,40.5,3
67,142.27,23.9292,17.53,-51.12,377,72.0,3
68,77.54,17.787,13.27,-54.08,256,35.0,3
69,69.19,18.1376,13.22,-54.52,169,38.5,3
70,88.78,16.323,9.59,-51.08,204,30.5,3
71,107.5,19.8464,11.37,-51.96,350,40.5,3
72,130.58,18.1338,13.16,-50.89,208,26.0,3
73,110.18,15.9406,9.875,-10.29,218,26.0,3
74,129.49,23.3984,17.51,-21.54,299,47.5,3
75,159.6,21.5446,14.34,-2.35,360,38.0,3
76,106.08,25.6662,21.115,-51.7,201,56.0,3
77,208.68,23.6472,16.31,-50.64,468,43.0,5
78,107.71,17.7272,8.75,-52.88,234,32.5,3
79,96.9,13.8074,11.005,-54.08,269,48.5,3
80,78.47,14.4464,8.69,-50.12,197,28.5,3
81,191.82,17.325,10.635,-50.64,432,50.0,3
82,101.77,14.0778,8.8,-51.86,224,31.5,3
83,86.65,15.2512,11.88,-53.64,215,52.0,3
84,110.77,19.23,10.925,-52.58,254,35.0,3
85,111.16,20.7756,15.385,-50.02,366,37.5,3
86,75.52,17.0982,10.605,-16.16,202,40.0,3
87,153.6,20.0164,9.905,-53.5,310,30.5,3
88,122.08,19.1844,14.55,-46.54,208,41.5,3
89,136.47,19.0556,12.6,-50.46,297,38.5,3
90,72.19,12.208,7.53,-51.08,219,23.5,3
91,84.24,13.7094,8.295,-51.97,224,21.5,3
92,81.31,9.7342,5.32,-51.08,181,22.5,3
93,124.44,19.7916,12.285,-1.47,244,30.0,3
94,214.65,23.1368,11.495,-52.14,415,30.0,3
95,101.37,19.6142,11.215,-51.52,236,36.5,3
96,107.05,19.9402,18.075,-51.96,192,53.5,3
97,101.62,11.1744,4.64,-51.69,212,21.0,3
98,101.99,12.8974,5.68,-51.52,249,29.0,3
99,70.16,5.4338,5.865,-51.96,266,29.0,3
100,58.25,10.748,9.185,-52.14,125,29.5,3
