generation,best_score,mean_score,median_score,elite_median_score,worst_score,best_turns,median_turns,worst_turns,best_food_eaten,best_sc_survival,best_sc_towards,best_sc_against,best_sc_ate,best_sc_bomb
87,189.1,33.465,13.11,71.985,-0.51,445,60.5,3,19.5,13.35,141.25,-32.5,97.5,-30.5
88,229.13,41.842,26.7875,39.715,-0.51,596,75.5,3,22.5,17.88,185.5,-45.0,112.5,-41.75
89,129.89,44.0396,28.2325,80.3,-0.51,405,84.2,3,13.0,7.59,88.5,-15.2,65.0,-16.0
90,269.52,44.9134,33.5125,44.265,-0.935,814,87.0,3,23.0,24.42,252.25,-61.9,115.0,-60.25
91,193.785,50.1407,20.9875,76.5625,-0.85,550,86.5,3,18.0,16.485,169.25,-42.2,90.0,-39.75
92,183.02,40.443,19.6425,64.0375,-0.51,499,61.2,3,18.0,14.97,152.75,-38.7,90.0,-36.0
93,277.61,48.4282,35.955,43.16,-0.51,652,87.2,3,28.5,19.56,208.0,-47.2,142.5,-45.25
94,145.18,43.8022,31.675,36.2575,0.045,442,91.2,3,13.5,10.53,115.25,-24.1,67.5,-24.0
95,212.715,43.7767,32.6875,59.305,-0.51,566,77.5,3,21.0,16.965,174.0,-43.5,105.0,-39.75
96,184.795,58.4763,43.65,55.5075,-0.765,697,107.0,3,18.5,13.095,140.0,-31.3,92.5,-29.5
97,195.345,52.2647,37.155,69.2725,-0.68,622,100.2,3,16.5,18.645,188.75,-48.8,82.5,-45.75
98,223.15,37.4316,29.57,39.6025,-0.985,455,90.8,3,24.0,13.65,150.0,-31.0,120.0,-29.5
99,181.355,46.6005,33.645,52.0175,-0.68,426,64.2,3,19.0,12.405,132.25,-29.8,95.0,-28.5
100,239.235,44.0011,32.5825,70.76,-0.51,684,89.8,3,21.0,20.535,214.0,-51.3,105.0,-49.0
101,189.845,39.9825,26.785,58.16,-0.765,572,79.0,3,17.0,17.145,173.75,-44.8,85.0,-41.25
102,263.105,41.7012,24.93,46.635,-0.85,694,75.5,3,23.5,20.805,223.75,-49.2,117.5,-49.75
103,158.65,44.6497,40.1375,49.2975,-0.51,480,94.5,3,14.5,14.4,145.0,-38.0,72.5,-35.25
104,236.135,43.0486,22.9075,60.7025,-0.51,684,77.0,3,22.0,20.535,208.75,-53.4,110.0,-49.75
105,237.68,52.1559,28.35,46.95,-0.585,642,85.0,4,22.5,16.68,184.25,-37.5,112.5,-38.25
106,248.54,49.3615,38.0175,93.6925,-0.74,658,77.2,3,23.0,19.74,208.5,-48.2,115.0,-46.5
107,175.965,47.1677,34.7425,34.7425,-0.51,458,99.8,3,17.5,13.065,137.5,-32.1,87.5,-30.0
108,203.245,41.496,25.4475,46.3425,-0.51,512,71.2,3,21.0,15.345,156.75,-39.6,105.0,-34.25
109,163.215,40.3886,18.4325,58.8925,-0.715,446,73.0,3,15.0,13.365,139.25,-33.4,75.0,-31.0
110,196.245,46.3912,35.8625,71.405,-0.85,382,96.2,3,20.5,11.445,130.25,-24.2,102.5,-23.75
111,199.89,43.8261,23.9325,57.0575,-0.825,538,75.2,3,19.0,16.14,167.75,-40.5,95.0,-38.5
112,211.25,44.6818,30.97,65.8975,-0.825,580,78.0,8,18.0,17.4,186.5,-41.4,90.0,-41.25
113,286.625,45.2973,30.4125,39.73,-1.27,758,84.5,3,27.5,22.725,236.0,-57.1,137.5,-52.5
114,280.585,62.9621,48.5475,69.345,-0.51,744,127.8,3,26.0,22.335,236.0,-54.5,130.0,-53.25
115,307.395,68.8749,51.9825,40.3575,-0.51,726,135.8,3,30.0,21.795,236.0,-50.9,150.0,-49.5
116,229.52,42.6199,25.415,32.41,-0.51,564,61.2,3,22.5,16.92,179.75,-40.9,112.5,-38.75
117,258.44,62.2192,45.7075,66.0925,-0.51,632,128.8,3,26.0,18.39,196.0,-44.2,130.0,-41.75
118,288.785,56.4569,47.245,43.9775,-0.16,933,145.5,3,28.5,20.685,222.5,-48.9,142.5,-48.0
119,177.37,48.9969,39.265,71.8425,-0.51,574,111.5,3,13.5,17.22,179.25,-43.1,67.5,-43.5
120,227.615,49.5655,45.6875,59.2025,-0.995,576,115.8,3,21.0,17.265,185.5,-40.9,105.0,-39.25
121,467.16,68.7322,51.2825,80.445,-0.68,1267,146.5,3,40.0,38.01,409.5,-89.6,200.0,-90.75
122,350.88,53.2301,38.245,67.245,-0.85,976,110.0,3,27.5,29.28,322.0,-66.4,137.5,-71.5
123,302.195,51.4783,23.6575,43.3275,-0.51,776,63.0,3,28.5,23.295,248.0,-56.1,142.5,-55.5
124,193.08,45.9927,29.0325,48.4675,-1.105,577,86.0,6,16.5,15.63,168.5,-36.8,82.5,-36.75
125,224.29,59.6422,43.3475,50.22,-0.68,668,134.0,3,16.5,20.04,217.75,-46.5,82.5,-49.5
126,230.565,54.5305,27.4225,126.84,-0.51,646,62.0,3,20.5,19.365,203.25,-47.8,102.5,-46.75
127,278.1,59.4691,28.4675,72.89,-0.51,1150,106.2,3,16.5,34.5,344.0,-92.4,82.5,-90.5
128,214.84,48.3716,29.6325,69.1675,-0.85,788,82.0,3,15.5,23.64,237.0,-62.8,77.5,-60.5
129,197.595,53.154,47.4575,93.34,0.19,746,152.8,3,13.5,22.395,225.0,-59.3,67.5,-58.0
130,241.365,57.3159,38.2425,90.83,-0.51,704,104.8,3,25.0,16.215,175.0,-38.1,125.0,-36.75
131,216.885,54.6153,29.9775,51.0875,-1.14,550,114.2,3,20.5,16.485,175.75,-39.6,102.5,-38.25
132,299.985,64.6186,54.3925,113.7625,-0.68,800,175.8,3,26.5,23.985,257.25,-57.0,132.5,-56.75
133,305.075,60.155,38.695,47.705,-0.51,1122,111.8,3,22.5,33.675,336.0,-90.1,112.5,-87.0
134,366.395,69.281,48.6475,136.645,-0.595,1156,143.0,3,28.5,34.695,362.5,-86.3,142.5,-87.0
135,268.735,58.5632,37.775,71.815,-0.51,624,99.5,3,26.5,18.735,203.5,-43.5,132.5,-42.5
136,287.085,60.8574,46.11,59.805,-0.51,934,128.2,3,23.0,28.035,286.75,-72.2,115.0,-70.5
137,315.79,68.8848,37.58,110.99,-0.15,833,140.8,5,28.0,24.99,268.5,-59.2,140.0,-58.5
138,194.56,49.4938,33.515,67.67,-0.68,697,94.0,3,14.5,20.91,209.5,-55.6,72.5,-52.75
139,293.95,75.7353,69.225,85.56,-0.51,1005,180.8,3,22.0,30.15,308.25,-77.7,110.0,-76.75
140,422.09,62.5369,34.1,43.59,-0.51,1058,120.8,3,38.5,31.74,345.5,-73.4,192.5,-74.25
141,288.53,56.3236,39.665,76.7775,-0.85,826,141.0,3,23.5,24.78,265.5,-59.0,117.5,-60.25
142,574.045,60.3389,29.525,47.2475,-0.68,1496,89.8,3,52.0,44.895,481.75,-106.6,260.0,-106.0
143,376.3,84.5665,42.995,82.33,-0.85,920,119.5,3,34.0,27.6,305.5,-61.8,170.0,-65.0
144,348.605,56.4142,35.0775,79.385,-0.585,678,120.0,3,36.5,20.355,231.75,-43.0,182.5,-43.0
145,359.845,74.8141,49.4725,78.9725,-0.51,992,128.8,3,30.5,29.745,319.75,-70.4,152.5,-71.75
146,359.02,81.4306,61.775,96.8425,-0.51,1014,170.2,3,32.0,30.42,317.25,-75.9,160.0,-72.75
147,500.165,77.5953,35.655,75.2025,-0.695,1226,127.8,3,48.0,36.765,395.0,-87.1,240.0,-84.5
148,284.01,52.3045,28.5625,85.835,-1.27,792,128.2,3,25.0,23.76,251.0,-58.0,125.0,-57.75
149,496.025,77.1086,26.8625,84.61,-0.85,1614,91.5,3,46.0,39.525,416.25,-97.0,230.0,-92.75
150,286.15,49.8167,31.1075,72.5075,-0.51,910,107.2,3,21.5,27.3,286.5,-67.4,107.5,-67.75
151,443.765,64.1593,19.81,55.0875,-0.51,1230,82.5,3,40.0,36.915,386.75,-91.4,200.0,-88.5
152,405.025,67.8019,56.9325,109.785,-1.01,952,166.0,3,40.5,28.575,306.75,-67.8,202.5,-65.0
153,357.35,76.5381,40.125,133.295,-0.16,1030,116.0,3,31.0,30.9,323.0,-76.8,155.0,-74.75
154,570.645,91.5317,58.155,68.345,-0.51,1606,160.2,3,46.0,48.195,522.5,-112.3,230.0,-117.75
155,294.81,81.1066,51.055,100.68,-0.51,782,153.8,3,26.0,23.46,252.5,-55.4,130.0,-55.75
156,258.715,62.4506,47.7375,67.43,-0.92,906,105.5,3,18.0,27.165,279.75,-69.2,90.0,-69.0
157,275.615,56.2182,34.595,103.6175,-1.02,776,91.2,3,23.0,23.265,249.25,-55.4,115.0,-56.5
158,240.56,59.5619,31.1325,109.56,-0.51,682,98.8,3,22.0,20.46,211.25,-51.9,110.0,-49.25
159,242.725,67.7568,42.075,114.5825,-0.51,732,114.5,3,19.5,21.975,231.25,-54.0,97.5,-54.0
160,256.075,71.6317,59.42,76.9,0.055,758,174.8,8,22.0,22.725,235.25,-57.4,110.0,-54.5
161,658.815,96.4234,68.5125,93.81,-0.51,1830,176.5,3,57.0,54.915,583.75,-132.6,285.0,-132.25
162,297.8,80.0885,50.4075,125.4775,-0.51,775,131.2,3,26.0,23.25,253.25,-53.7,130.0,-55.0
163,299.43,71.1912,53.6875,122.54,-0.68,826,142.8,3,25.0,24.78,267.75,-58.1,125.0,-60.0
164,436.26,99.8932,50.4625,191.2225,-0.51,1312,165.0,3,34.0,39.36,419.5,-94.6,170.0,-98.0
165,648.625,127.9403,94.93,112.01,-0.51,2068,295.8,3,50.0,62.025,646.5,-154.9,250.0,-155.0
166,298.875,101.766,78.08,76.885,-0.51,860,189.5,3,30.0,20.625,223.75,-48.0,150.0,-47.5
167,226.835,64.1019,47.215,74.5325,-0.85,580,136.0,3,20.5,17.385,189.0,-40.3,102.5,-41.75
168,401.76,75.5597,49.585,86.8,-0.51,1157,160.0,3,31.5,34.71,376.75,-80.7,157.5,-86.5
169,309.73,75.8492,49.35,63.26,-1.02,926,132.2,3,25.5,27.78,291.0,-68.8,127.5,-67.75
170,231.305,66.5808,50.2175,101.9425,-0.765,714,154.2,3,20.0,21.405,217.75,-55.6,100.0,-52.25
171,737.375,77.5103,46.4925,88.3675,-0.39,2262,123.5,6,56.0,67.875,722.5,-163.5,280.0,-169.5
172,342.685,89.3897,83.335,99.795,-0.51,1000,237.8,3,29.5,29.985,312.75,-74.8,147.5,-72.75
173,383.27,90.2018,64.58,123.85,-0.16,1024,179.5,3,33.0,30.72,332.75,-71.7,165.0,-73.5
174,399.675,113.5824,94.3325,139.885,-0.16,1102,282.2,3,37.0,33.075,342.75,-83.4,185.0,-77.75
175,386.45,124.7356,108.7775,85.075,-0.825,1075,280.5,8,34.5,30.6,329.0,-72.4,172.5,-73.25
176,300.71,99.552,75.9975,152.3025,-0.16,832,233.5,3,26.5,24.96,263.5,-61.0,132.5,-59.25
177,411.955,103.6752,69.1425,112.75,-0.51,1054,237.2,3,39.5,31.605,334.5,-76.9,197.5,-74.75
178,341.065,76.4053,53.65,111.7975,-0.51,1020,177.5,3,27.5,30.615,323.25,-74.8,137.5,-75.5
179,502.115,79.7788,60.185,131.3575,-0.68,1306,171.5,3,45.5,39.165,420.75,-92.8,227.5,-92.5
180,383.06,97.6981,67.5625,98.9825,-0.51,1232,180.0,3,29.0,36.96,386.25,-91.9,145.0,-93.25
181,287.19,95.814,87.0725,169.115,-1.165,846,231.8,3,24.0,23.94,257.75,-56.5,120.0,-58.0
182,576.035,92.2751,68.06,117.04,-0.79,1760,204.5,3,46.5,52.785,553.5,-130.5,232.5,-132.25
183,476.42,86.3407,45.815,171.9775,-0.51,1449,152.2,3,39.0,43.47,453.75,-108.3,195.0,-107.5
184,693.01,74.38,20.9625,115.1225,-0.51,1982,79.2,3,55.5,59.46,641.75,-139.7,277.5,-146.0
185,413.085,95.4647,55.3925,145.4675,-0.72,1344,193.5,3,28.5,40.335,429.75,-97.0,142.5,-102.5
186,434.88,96.6609,62.0475,130.2375,-0.51,1306,193.2,3,36.0,39.18,409.75,-97.3,180.0,-96.75
187,398.045,88.6781,53.37,93.13,-0.8,1291,146.5,3,32.0,36.195,379.75,-89.4,160.0,-88.5
188,345.69,60.8543,31.4625,121.1225,-0.51,998,100.5,3,28.0,29.94,320.25,-71.5,140.0,-73.0
189,387.21,80.4732,59.6025,104.98,-0.51,1047,199.5,3,35.5,31.41,330.5,-77.2,177.5,-75.0
190,533.03,74.764,55.5825,113.1975,-0.51,1741,149.5,3,38.0,52.23,551.25,-127.7,190.0,-132.75
191,367.625,63.2039,32.425,114.8375,-0.51,1088,89.8,3,30.5,32.625,342.5,-80.5,152.5,-79.5
192,554.52,119.6839,93.765,105.015,-0.51,1509,257.2,3,49.0,45.27,482.0,-109.0,245.0,-108.75
193,486.31,97.0394,75.165,115.38,-0.68,1437,260.0,3,41.5,43.11,449.0,-107.8,207.5,-105.5
194,467.45,112.8753,59.605,153.1725,-0.51,1340,204.0,3,37.0,40.2,435.0,-94.0,185.0,-98.75
195,520.815,117.3158,69.51,160.0725,-1.61,1566,193.5,3,40.0,46.965,503.0,-111.9,200.0,-117.25
196,309.78,89.9927,64.535,110.9975,-0.85,991,185.5,3,24.5,29.73,306.25,-75.7,122.5,-73.0
197,295.905,82.4457,64.865,113.1325,-0.945,828,184.0,3,23.5,24.855,271.25,-57.2,117.5,-60.5
198,455.615,101.7141,47.7725,138.8825,-1.32,1403,169.0,3,38.0,39.915,420.75,-97.8,190.0,-97.25
199,1139.12,105.7918,55.01,193.435,-0.51,3194,177.0,3,95.5,95.82,1025.25,-228.7,477.5,-230.75
200,642.045,119.1138,83.2475,198.295,-0.51,1776,233.2,3,51.5,53.295,582.0,-122.5,257.5,-128.25
201,263.19,75.1909,41.605,170.9775,-0.51,726,117.8,3,26.0,20.19,210.25,-50.5,130.0,-46.75
202,606.51,109.206,54.11,149.1075,-0.51,1672,138.2,3,53.0,50.16,532.5,-121.4,265.0,-119.75
203,542.02,128.7615,82.7025,223.0825,-0.51,1582,284.2,3,46.0,44.82,481.25,-106.3,230.0,-107.75
204,334.35,79.5761,55.2775,153.8025,-1.455,1040,165.2,3,24.5,31.2,333.5,-74.6,122.5,-78.25
205,478.52,104.1225,54.025,103.9275,-0.51,1348,210.5,3,41.5,38.67,416.0,-91.4,207.5,-92.25
206,392.955,93.0649,65.855,99.575,-0.645,1234,166.0,3,30.0,37.005,389.75,-90.8,150.0,-93.0
207,378.3,92.6607,59.5725,163.2375,-0.51,1075,154.5,3,31.0,32.25,345.75,-76.7,155.0,-78.0
208,574.995,127.8963,85.5775,122.6675,-0.51,1782,219.2,3,43.5,53.445,567.75,-129.2,217.5,-134.5
209,413.23,125.4323,98.685,166.515,-1.5,1222,284.0,3,36.0,33.48,359.25,-79.5,180.0,-80.0
210,388.94,91.4686,69.3525,94.8025,-0.51,1228,197.5,3,29.0,36.84,389.25,-89.9,145.0,-92.25
211,516.07,131.552,91.78,174.05,-0.69,1488,272.0,3,43.0,44.22,471.0,-106.4,215.0,-107.75
212,498.61,111.1113,95.3925,101.5525,-0.765,1337,291.5,3,44.0,40.11,429.75,-95.5,220.0,-95.75
213,374.79,95.3454,84.2325,186.1175,-0.51,998,244.5,3,33.5,29.94,320.5,-71.4,167.5,-71.75
214,366.245,95.5796,63.7725,142.755,-0.51,1002,197.0,3,33.0,30.045,316.25,-73.8,165.0,-71.25
215,267.35,85.3179,77.12,175.9125,-0.8,800,194.0,3,24.5,19.8,217.0,-45.2,122.5,-46.75
216,342.325,97.6526,76.305,91.1175,-1.25,1132,217.5,3,25.5,33.975,351.5,-85.9,127.5,-84.75
217,322.17,83.1965,53.005,74.765,-0.51,912,172.8,3,28.0,24.72,272.5,-55.8,140.0,-59.25
218,554.45,99.9428,27.655,209.2425,-0.575,1485,119.2,3,46.5,44.55,486.0,-102.6,232.5,-106.0
219,491.66,89.6555,55.1575,178.91,-0.51,1367,173.0,3,42.0,41.01,437.0,-98.6,210.0,-97.75
220,595.42,126.1456,92.47,104.3875,0.985,1924,271.2,10,43.5,57.72,607.5,-141.8,217.5,-145.5
221,537.015,112.0712,83.365,176.69,-0.51,1486,221.2,3,46.5,44.565,474.5,-107.3,232.5,-107.25
222,704.835,105.6781,72.1325,172.385,-0.27,2104,233.8,3,55.5,63.135,672.75,-151.8,277.5,-156.75
223,462.98,98.4209,69.7175,152.245,-0.51,1301,197.8,3,37.5,39.03,422.25,-91.3,187.5,-94.5
224,337.435,112.5063,84.9725,155.445,-0.57,896,266.2,3,31.0,26.385,281.75,-63.2,155.0,-62.5
225,781.125,143.3009,99.5125,163.535,-0.85,2222,305.0,3,64.0,66.675,715.5,-158.3,320.0,-162.75
226,708.31,118.0637,54.9575,131.1425,-0.51,2162,163.0,3,54.5,64.86,689.0,-156.8,272.5,-161.25
227,428.625,130.5986,106.6625,210.52,0.19,1152,335.8,3,37.5,34.575,370.75,-82.2,187.5,-82.0
228,342.185,102.6716,78.09,178.155,-0.85,1084,250.5,3,24.0,32.535,349.5,-77.1,120.0,-82.75
229,664.545,92.736,41.9125,177.965,-0.51,1926,128.2,3,55.0,57.795,613.25,-140.0,275.0,-141.5
230,525.025,106.533,68.1475,107.57,-1.01,1478,154.5,3,40.5,44.325,488.0,-100.3,202.5,-109.5
231,463.77,100.3684,74.935,143.245,-0.185,1249,257.8,6,40.5,37.47,401.5,-89.2,202.5,-88.5
