generation, best_score, mean_score, median_score, elite_median_score, worst_score, best_turns, median_turns, worst_turns, best_food_eaten, best_sc_survival, best_sc_towards, best_sc_against, best_sc_ate, best_sc_bomb
        58,   22583.27,  4522.3   ,     1547.155,          13905.305, 5.66       ,      47927,       3240.5,          16,             539,           479.27,         29993.0, -8967.0        ,      1078.0,          0.0
        59,   22204.04,  2563.8918,      679.275,           8695.59 , 8.84       ,      47254,       1427.5,          26,             504,           472.54,         29567.0, -8843.5        ,      1008.0,          0.0
        60,   15343.05,  3789.8106,     2007.62 ,          13034.855, 6.09       ,      32555,       4437.0,           9,             364,           325.55,         20378.0, -6088.5        ,       728.0,          0.0
        61,   15365.23,  2971.5318,      996.635,          11049.39 , 0.55       ,      32723,       2167.0,           5,             324,           327.23,         20501.0, -6111.0        ,       648.0,          0.0
        62,   16077.18,  2906.2306,     1219.925,           9210.925, 0.09       ,      34468,       2267.5,           9,             380,           344.68,         21471.0, -6498.5        ,       760.0,          0.0
        63,   24947.94,  3751.6   ,      998.27 ,          12316.8  , 4.59       ,      53194,       2504.0,           9,             569,           531.94,         33250.0, -9972.0        ,      1138.0,          0.0
        64,   47920.01,  5343.1218,     1805.71 ,          12252.875, 4.28       ,     102151,       3621.0,           9,            1122,          1021.51,         63820.0, -19165.5       ,      2244.0,          0.0
        65,   26793.07,  4668.022 ,     1514.015,          14024.335, 7.34       ,      56807,       3001.5,          34,             636,           568.07,         35571.0, -10618.0       ,      1272.0,          0.0
        66,   21584.53,  3856.3392,     1844.545,           9851.77 , 10.64      ,      45803,       3729.5,          27,             501,           458.03,         28684.0, -8559.5        ,      1002.0,          0.0
        67,   15820.49,  2335.429 ,      547.245,           7467.605, 6.28       ,      33699,       1049.5,          21,             376,           336.99,         21054.0, -6322.5        ,       752.0,          0.0
        68,   23294.88,  4239.1728,      940.09 ,          13013.265, 1.59       ,      49688,       2098.5,           9,             556,           496.88,         31020.0, -9334.0        ,      1112.0,          0.0
        69,   17774.27,  3707.1612,      887.69 ,          12378.975, -0.95      ,      38177,       2045.5,           5,             356,           381.77,         23846.0, -7165.5        ,       712.0,          0.0
        70,   26081.67,  4724.2688,     2269.85 ,          13665.455, 7.21       ,      54967,       4760.0,          21,             638,           549.67,         34493.0, -10237.0       ,      1276.0,          0.0
        71,   26999.99,  3702.7688,      981.58 ,          11663.645, -0.34      ,      57549,       2383.0,          16,             628,           575.49,         35962.0, -10793.5       ,      1256.0,          0.0
        72,   36808.97,  3407.0808,     1019.55 ,           9540.295, 1.59       ,      77897,       2303.5,           9,             839,           778.97,         48867.0, -14515.0       ,      1678.0,          0.0
        73,   27127.68,  3474.2142,     1298.28 ,          10100.87 , 3.09       ,      57768,       2585.5,           9,             639,           577.68,         36104.0, -10832.0       ,      1278.0,          0.0
        74,   25577.16,  4699.9924,     1218.185,          12488.94 , 2.6        ,      54716,       2562.5,          10,             601,           547.16,         34124.0, -10296.0       ,      1202.0,          0.0
        75,   15590.78,  3367.248 ,     1132.535,          11498.035, 1.59       ,      33028,       2428.5,           9,             360,           330.28,         20703.0, -6162.5        ,       720.0,          0.0
        76,   21174.84,  4149.84  ,     1068.385,          14198.67 , -0.95      ,      44684,       2116.5,           5,             511,           446.84,         28032.0, -8326.0        ,      1022.0,          0.0
        77,   35415.39,  4161.332 ,     1472.48 ,           8748.505, 14.79      ,      75389,       3123.0,          29,             835,           753.89,         47124.0, -14132.5       ,      1670.0,          0.0
        78,   27581.67,  3291.343 ,      651.425,          11179.69 , 3.21       ,      58217,       1417.5,          12,             637,           582.17,         36556.0, -10830.5       ,      1274.0,          0.0
        79,   12257.0 ,  2762.0444,     1148.4  ,           8432.195, 1.59       ,      25850,       2407.5,           9,             290,           258.5 ,         16229.0, -4810.5        ,       580.0,          0.0
        80,   18804.73,  3055.45  ,     1516.89 ,           8221.35 , 7.1        ,      39973,       2964.0,          10,             433,           399.73,         25017.0, -7478.0        ,       866.0,          0.0
        81,   39766.25,  5018.3068,     1232.645,          15059.28 , 3.21       ,      83925,       2782.0,          21,             943,           839.25,         52669.0, -15628.0       ,      1886.0,          0.0
        82,   19776.19,  3652.0238,     2002.97 ,          10984.455, 4.83       ,      41869,       4297.0,          14,             454,           418.69,         26256.0, -7806.5        ,       908.0,          0.0
        83,   31146.77,  3955.4306,     1367.605,          10605.935, 4.1        ,      66677,       3124.5,          10,             713,           666.77,         41595.0, -12541.0       ,      1426.0,          0.0
        84,   24741.87,  2756.6708,      903.12 ,           8300.11 , 4.65       ,      52637,       1962.0,          15,             577,           526.37,         32920.0, -9858.5        ,      1154.0,          0.0
        85,   18514.05,  3183.1954,      727.865,          11280.875, 3.18       ,      39355,       1336.5,          15,             407,           393.55,         24656.0, -7349.5        ,       814.0,          0.0
        86,   37598.61,  3232.2206,     1431.935,           8910.025, 0.04       ,      79461,       2878.5,          21,             906,           794.61,         49815.0, -14823.0       ,      1812.0,          0.0
        87,   22880.72,  3978.569 ,      821.51 ,          11210.57 , 3.09       ,      48322,       1862.0,           9,             564,           483.22,         30287.0, -9017.5        ,      1128.0,          0.0
        88,   22437.29,  4796.969 ,     2289.71 ,          16002.135, 9.39       ,      48079,       4871.0,          24,             492,           480.79,         30008.0, -9035.5        ,       984.0,          0.0
        89,   27718.13,  5513.1578,     1723.41 ,          17456.03 , -0.92      ,      58813,       3516.0,           8,             651,           588.13,         36823.0, -10995.0       ,      1302.0,          0.0
        90,   19138.24,  3002.8576,      776.525,           9871.285, 1.68       ,      39474,       1602.5,           9,             500,           394.74,         24987.0, -7243.5        ,      1000.0,          0.0
        91,   15396.63,  3466.7564,     1410.26 ,          10854.795, 2.6        ,      31563,       2926.0,          10,             411,           315.63,         20027.0, -5768.0        ,       822.0,          0.0
        92,   24407.35,  4796.516 ,     2476.69 ,          14711.575, 4.65       ,      47535,       5369.0,          15,             788,           475.35,         30749.0, -8393.0        ,      1576.0,          0.0
        93,   24017.61,  3587.6274,     1032.93 ,           9886.185, 0.09       ,      49411,       2295.5,           9,             614,           494.11,         31334.0, -9038.5        ,      1228.0,          0.0
        94,   21352.69,  4400.876 ,     1112.685,          13465.0  , 1.59       ,      43719,       2574.0,           9,             557,           437.19,         27774.0, -7972.5        ,      1114.0,          0.0
        95,   31545.67,  5518.2124,     2529.31 ,          12635.12 , 45.19      ,      64217,       4906.0,          69,             876,           642.17,         40840.0, -11688.5       ,      1752.0,          0.0
        96,   25409.44,  3128.4196,      522.925,           9699.35 , 6.09       ,      52144,       1358.5,           9,             646,           521.44,         33112.0, -9516.0        ,      1292.0,          0.0
        97,   28249.72,  3119.9214,      562.585,          10402.27 , 3.09       ,      57372,       1189.5,           9,             749,           573.72,         36576.0, -10398.0       ,      1498.0,          0.0
        98,   31311.16,  6311.9792,     2726.98 ,          18304.215, 0.09       ,      64816,       5430.5,           9,             835,           648.16,         40934.0, -11941.0       ,      1670.0,          0.0
        99,   33116.98,  5323.595 ,     2068.885,          16536.025, 3.15       ,      67398,       4013.5,          10,             878,           673.98,         42924.0, -12237.0       ,      1756.0,          0.0
       100,   17645.09,  4476.6218,     3320.55 ,          11308.095, 2.6        ,      35959,       6780.0,          10,             483,           359.59,         22866.0, -6546.5        ,       966.0,          0.0
       101,   24053.15,  3072.0672,     1306.845,           8430.615, 6.21       ,      49965,       2632.0,          18,             604,           499.65,         31552.0, -9206.5        ,      1208.0,          0.0
       102,   28836.65,  4818.399 ,     2062.695,          13140.66 , -2.88      ,      59415,       4069.5,          12,             745,           594.15,         37640.0, -10887.5       ,      1490.0,          0.0
       103,   25519.89,  3921.623 ,      991.75 ,          12949.035, 3.59       ,      52239,       2148.0,           9,             675,           522.39,         33178.0, -9530.5        ,      1350.0,          0.0
       104,   44347.34,  5699.4738,     2615.435,          16813.2  , 6.15       ,      90784,       5343.5,          15,            1179,           907.84,         57649.0, -16567.5       ,      2358.0,          0.0
       105,   28333.13,  3835.602 ,     1416.79 ,          10553.49 , 20.55      ,      57963,       2954.0,         105,             784,           579.63,         36778.0, -10592.5       ,      1568.0,          0.0
       106,   20652.75,  4036.5814,     1806.62 ,          13054.53 , 1.59       ,      42325,       3615.5,           9,             527,           423.25,         26892.0, -7716.5        ,      1054.0,          0.0
       107,   29252.37,  3084.1856,     1073.94 ,           9310.72 , 12.57      ,      59037,       2319.0,          40,             819,           590.37,         37695.0, -10671.0       ,      1638.0,          0.0
       108,   25684.74,  4142.3302,      802.73 ,          14112.895, 0.61       ,      52624,       1648.0,           9,             659,           526.24,         33435.0, -9594.5        ,      1318.0,          0.0
       109,   23612.44,  2824.5972,     1011.03 ,           8231.74 , 0.55       ,      48844,       2094.0,           5,             616,           488.44,         30876.0, -8984.0        ,      1232.0,          0.0
       110,   20914.22,  3185.5656,     1171.205,           9866.445, 8.84       ,      42972,       2393.5,          34,             571,           429.72,         27219.0, -7876.5        ,      1142.0,          0.0
       111,   23341.36,  5130.1586,     2825.61 ,          12550.76 , 4.59       ,      47818,       5705.5,           9,             631,           475.36,         30248.0, -8644.0        ,      1262.0,          0.0
       112,   26848.5 ,  3852.4184,     1196.16 ,           8742.135, 5.15       ,      55200,       2366.0,          15,             705,           552.0 ,         34991.0, -10104.5       ,      1410.0,          0.0
       113,   57506.09,  6286.7268,     1445.31 ,          18455.27 , 4.59       ,     121559,       3055.5,           9,            1394,          1215.59,         76188.0, -22685.5       ,      2788.0,          0.0
       114,   18988.19,  4070.0696,     1006.095,          14238.67 , 3.09       ,      38619,       2159.0,           9,             505,           386.19,         24601.0, -7009.0        ,      1010.0,          0.0
       115,   34883.41,  3631.656 ,     1812.025,           7387.845, 5.09       ,      70991,       3697.0,           9,             873,           709.91,         45282.0, -12854.5       ,      1746.0,          0.0
       116,   52896.19,  5193.2902,     1528.22 ,          12367.485, 6.68       ,     111769,       3270.5,          14,            1225,          1117.69,         70142.0, -20813.5       ,      2450.0,          0.0
       117,   24859.58,  3167.0034,      448.04 ,          10381.44 , 1.59       ,      50958,       1229.0,           9,             685,           509.58,         32306.0, -9326.0        ,      1370.0,          0.0
       118,   33592.66,  3339.1338,     1011.27 ,           9293.065, 3.09       ,      70766,       2291.0,           9,             807,           707.66,         44436.0, -13165.0       ,      1614.0,          0.0
       119,   29363.66,  4692.4828,     1011.555,          16730.13 , 5.3        ,      61916,       2662.0,          16,             752,           619.16,         38799.0, -11558.5       ,      1504.0,          0.0
       120,   17871.66,  3099.0838,     1231.13 ,           9452.77 , 4.1        ,      37816,       2530.0,           9,             404,           378.16,         23729.0, -7043.5        ,       808.0,          0.0
       121,   34875.79,  4492.7398,     2013.2  ,          10131.995, 10.28      ,      71029,       3970.0,          28,             934,           710.29,         45208.0, -12910.5       ,      1868.0,          0.0
       122,   32998.33,  4205.4686,     1158.54 ,          12375.935, 1.53       ,      69983,       2574.5,           3,             762,           699.83,         43844.0, -13069.5       ,      1524.0,          0.0
       123,   35658.82,  5394.3038,     1559.725,          14730.125, 9.21       ,      75732,       3397.5,          21,             803,           757.32,         47441.0, -14145.5       ,      1606.0,          0.0
       124,   23190.64,  3562.4074,     1236.585,          11190.015, 3.09       ,      49214,       2633.5,           9,             552,           492.14,         30801.0, -9206.5        ,      1104.0,          0.0
       125,   23913.45,  3824.9222,     1195.335,           9677.945, 4.65       ,      50495,       2359.0,          11,             538,           504.95,         31720.0, -9387.5        ,      1076.0,          0.0
       126,   25806.51,  5274.4852,     3086.53 ,          14881.79 , 1.65       ,      54101,       6572.5,          15,             601,           541.01,         34076.0, -10012.5       ,      1202.0,          0.0
       127,   28124.7 ,  4652.36  ,      856.595,          15496.465, 4.65       ,      60070,       1908.5,          10,             650,           600.7 ,         37506.0, -11282.0       ,      1300.0,          0.0
       128,   19050.99,  2743.0682,      462.305,          10274.815, 7.28       ,      40376,       1075.5,          21,             447,           401.49,         25220.0, -7464.5        ,       894.0,          0.0
       129,   18554.9 ,  3529.6538,     1077.745,          12569.53 , 2.66       ,      38990,       2128.5,          16,             476,           389.9 ,         24472.0, -7259.0        ,       952.0,          0.0
       130,   24336.76,  2914.5062,     1007.395,           9176.315, -2.45      ,      51626,       2118.5,           5,             528,           516.26,         32385.0, -9620.5        ,      1056.0,          0.0
       131,   14651.89,  3200.9558,     1659.81 ,          10281.26 , -2.45      ,      31089,       3619.5,           5,             335,           310.89,         19477.0, -5806.0        ,       670.0,          0.0
       132,   23778.98,  5767.446 ,     2068.115,          17774.315, 5.09       ,      50098,       4496.0,           8,             579,           500.98,         31446.0, -9326.0        ,      1158.0,          0.0
       133,   19293.88,  3542.0632,     1062.175,          10499.555, -0.89      ,      40888,       2217.5,          11,             451,           408.88,         25618.0, -7635.0        ,       902.0,          0.0
       134,   34962.91,  3856.4034,      933.06 ,          13824.84 , 3.59       ,      73591,       1981.0,           9,             793,           735.91,         46291.0, -13650.0       ,      1586.0,          0.0
       135,   33626.75,  4718.355 ,     1484.38 ,          13514.71 , 10.28      ,      70825,       3188.0,          28,             795,           708.25,         44494.0, -13165.5       ,      1590.0,          0.0
       136,   29957.08,  4576.4292,     2636.6  ,          11370.475, 3.09       ,      63508,       6120.5,           9,             685,           635.08,         39804.0, -11852.0       ,      1370.0,          0.0
       137,   43817.79,  5167.6634,     2294.45 ,          13020.99 , 7.77       ,      92329,       4870.0,          25,            1034,           923.29,         57994.0, -17167.5       ,      2068.0,          0.0
       138,   39911.33,  4781.5976,     1034.02 ,          14948.1  , 6.27       ,      83783,       2237.5,          27,             956,           837.83,         52702.0, -15540.5       ,      1912.0,          0.0
       139,   23928.15,  4738.8384,     2668.085,          13569.38 , 3.09       ,      50265,       5358.5,           9,             585,           502.65,         31592.0, -9336.5        ,      1170.0,          0.0
       140,   37992.01,  4575.3698,      830.71 ,          13731.51 , 1.59       ,      80101,       1993.5,           9,             904,           801.01,         50289.0, -14906.0       ,      1808.0,          0.0
       141,   49559.83,  5182.0968,     1499.39 ,          16335.625, 3.21       ,     104483,       3214.0,           9,            1149,          1044.83,         65639.0, -19422.0       ,      2298.0,          0.0
